,team_depth_1,score_depth_1,team_depth_2,score_depth_2,team_depth_3,score_depth_3,team_depth_4,score_depth_4,team_depth_5,score_depth_5,team_depth_6,score_depth_6,team_depth_7,score_depth_7,team_depth_8,score_depth_8,team_depth_9,score_depth_9,team_depth_10,score_depth_10
82, South_Alabama,0.36363636363636365, Ga_Southern,0.512396694214876, South_Alabama,0.5616165197379441, South_Alabama,0.5799233108103373, Ga_Southern,0.5860473032685538, Ga_Southern,0.5879779710136419, Ga_Southern,0.588609091335885, Ga_Southern,0.5888153449276701, Ga_Southern,0.5888826206450822, Ga_Southern,0.5889045300788806
83, Texas_Tech,0.36363636363636365, Texas_Tech,0.5111782157236701, Arizona_St,0.5551899317395186, Arizona_St,0.5724798249830041, Arizona_St,0.5782159621424746, Arizona_St,0.5801000729442768, Arizona_St,0.5807250966302191, Arizona_St,0.5809334706901602, Arizona_St,0.5810029646497012, Arizona_St,0.5810261054629493
84, Arizona_St,0.36363636363636365, South_Alabama,0.5107014197923287, UCF,0.5468893480257118, Notre_Dame,0.5684199326282875, Notre_Dame,0.5764219426141833, Notre_Dame,0.5792597368281448, Notre_Dame,0.580246297822178, Notre_Dame,0.5805840812333876, Notre_Dame,0.5806980533693612, Notre_Dame,0.5807360364928696
85, Nevada,0.36363636363636365, Arizona_St,0.5027548209366391, Notre_Dame,0.5463834881448519, SMU,0.559521685531265, SMU,0.5651574628334863, SMU,0.567107329018872, SMU,0.5677781566610693, SMU,0.5680076927333111, SMU,0.568085338292789, SMU,0.5681112974486694
86, Mississippi,0.36363636363636365, SMU,0.49586776859504134, Maryland,0.5443832262014081, UCF,0.5553661616161619, UCF,0.5582534439072456, UCF,0.5592543608855981, UCF,0.5595990247273076, UCF,0.5597163639582498, UCF,0.559755902638566, UCF,0.5597691146618488
87, SMU,0.36363636363636365, Notre_Dame,0.48737373737373724, SMU,0.5432467555401438, Maryland,0.5528098651807325, Maryland,0.5556176543528185, Maryland,0.5565654306273105, Maryland,0.556884506856819, Maryland,0.5569915362626362, Maryland,0.5570272197149984, Maryland,0.557039076226192
88, Ga_Southern,0.36363636363636365, Akron,0.468595041322314, Akron,0.4958813340011687, Akron,0.5045724990080732, Akron,0.5074582079892491, Akron,0.5084332264052793, Akron,0.5087591025478142, Akron,0.5088671242828958, Akron,0.5089028276386649, Akron,0.508914573294468
89, North_Texas,0.3333333333333333, UCLA,0.44949494949494934, UCLA,0.486177700666337, UCLA,0.5000551950051318, UCLA,0.5046986408454904, UCLA,0.5062612659420821, UCLA,0.5067812791774718, UCLA,0.5069536276310495, UCLA,0.5070105026523675, UCLA,0.5070292485984458
90, Florida_Intl,0.3333333333333333, North_Texas,0.44318181818181807, North_Texas,0.48213302900802896, North_Texas,0.4946982921576987, North_Texas,0.49877366273725976, North_Texas,0.5001132790557674, North_Texas,0.5005572782836194, North_Texas,0.5007050425266081, North_Texas,0.5007543025435135, North_Texas,0.5007706287680714
91, Notre_Dame,0.3333333333333333, Nevada,0.42148760330578516, Missouri,0.45868651550469774, Missouri,0.48152487441863023, Missouri,0.4895129228867913, Missouri,0.4922724798027283, Missouri,0.4932079029603991, Missouri,0.4935239507687925, Missouri,0.49362944480801924, Missouri,0.49366434309881146
92, UCLA,0.3333333333333333, Florida_Intl,0.409090909090909, Duke,0.45787620322744227, Duke,0.4800995371227055, Duke,0.48852324028087607, Duke,0.4915426825057143, Duke,0.4925987560063362, Duke,0.49296202151378005, Duke,0.49308492395516623, Duke,0.49312593421000445
